stem,count
נשל,90402
אמר,39630
אות,32887
דבר,32795
אבל,30993
שנה,27800
יכל,25734
עשה,24837
פה,23974
צר,23698
אחר,21875
חוק,21793
חבר,21490
משרד,21416
לן,20697
נשא,20692
חשב,20315
רץ,20255
כן,20198
היא,19585
אחד,19536
יום,18883
אז,17872
אלה,17692
אוד,17547
ידע,17235
הלך,17046
כי,16684
שם,16291
יותר,16084
הם,15893
רק,15221
ראה,14670
הכנסה,14623
איש,14603
בא,14502
עוד,14131
מים,13712
היות,13309
עבד,13144
ישראל,13061
שש,12960
אפשר,12503
מקום,12403
הגיע,12132
שהוא,11908
עני,11847
כאן,11822
כלל,11719
נתן,11235
דיון,11215
קיבל,11149
בעיה,10930
הגיד,10889
רצה,10872
שזה,10860
רב,10828
בר,10622
ביקש,10560
שאנחנו,10431
כמה,10411
צריך,10385
שלא,10352
נכון,10297
זאת,10260
עבר,10200
טוב,9999
ילד,9889
עלה,9832
בין,9815
ראש,9809
דין,9785
הזאת,9777
בית,9710
גב,9571
אי,9452
כד,9448
ואני,9326
עכשיו,8999
הרבה,8988
עד,8925
בי,8880
משל,8842
אמת,8807
שאת,8793
תווך,8792
חינוך,8790
כך,8769
רגע,8614
פעם,8603
מדינה,8540
חלק,8464
עבודה,8464
מדבר,8463
למה,8428
ולא,8372
שאני,8368
סעיף,8357
כמו,8279
תודה,8220
אישר,8092
ספר,8032
וגם,8019
שר,8003
תקציב,7957
שאל,7956
משפט,7944
הצעה,7838
סדר,7762
שקל,7698
הבין,7463
בקשה,7213
לקח,7174
עול,7021
שמע,6967
שב,6884
ב,6880
עמד,6876
שהם,6874
הוועדה,6831
קבע,6766
קבל,6718
מן,6704
לפני,6689
הביא,6665
סוף,6562
קיים,6547
ישן,6540
רש,6506
ישב,6503
ראשון,6442
ועדה,6432
מצא,6406
ציבור,6385
שעה,6247
עצם,6242
זמן,6207
יד,6202
קד,6160
לומר,6135
שני,6093
זו,6021
לתת,5866
החלטה,5816
נכנס,5784
ישיבה,5723
אדון,5634
שום,5573
לפלנד,5553
חודש,5552
וזה,5542
חדש,5527
חייב,5510
פחת,5472
התחיל,5457
משהו,5447
עץ,5372
אצר,5266
חברה,5207
נוסף,5163
שהיא,5088
עסק,5078
דובר,5054
פן,5012
אלא,5004
ים,4974
דרך,4964
אולי,4927
דיבר,4876
שירה,4854
קרא,4820
בדק,4788
יצא,4766
אופן,4761
ואנחנו,4759
מיליון,4755
כסף,4751
חזר,4696
נתון,4678
מובן,4672
התייחס,4631
נמצא,4623
מצב,4600
לזה,4556
מקרה,4551
מס,4532
כתב,4520
פתח,4517
שרד,4461
חי,4411
העביר,4405
שלוש,4388
מחיר,4377
מנהל,4300
