stem,count
"מאוד",16862
"החוק",7590
"ישראל",7470
"חוק",6643
"באמת",6553
"להגיד",6090
"זו",6021
"אנשים",5840
"שנים",5789
"החינוך",5680
"המדינה",5657
"ראש",5566
"לתת",5469
"אדוני",5227
"שנה",5158
"הממשלה",5132
"האם",5045
"שלי",4864
"שלו",4830
"חשוב",4539
"האוצר",4320
"פעם",4295
"מיליון",4195
"בעיה",4193
"יכולים",4166
"יודעים",4134
"מדברים",4130
"אלה",4111
"לכל",4088
"הדיון",4053
"שלהם",3918
"בכלל",3892
"חלק",3842
"בית",3826
"עושים",3825
"שצריך",3794
"שאתה",3792
"באופן",3782
"בעצם",3745
"לקבל",3736
"כרגע",3736
"ה",3698
"בגלל",3681
"הכול",3644
"נושא",3623
"העניין",3618
"שום",3615
"כזה",3580
"בתוך",3553
"ל",3541
"ולכן",3531
"שקלים",3514
"סעיף",3508
"חושבת",3495
"רשות",3477
"הייתי",3443
"לדבר",3404
"לומר",3400
"איזה",3383
"הן",3378
"הדבר",3378
"אדם",3359
"בדיוק",3327
"שר",3313
"אחרים",3307
"שקל",3304
"מקום",3287
"ויש",3285
"זמן",3283
"בעניין",3274
"בצורה",3261
"כסף",3209
"עבודה",3194
"כמובן",3193
"בעד",3182
"אחרת",3169
"היתה",3104
"דרך",3098
"דיון",3077
"בו",3060
"פשוט",3039
"ואז",3015
"ברור",3014
"חברת",3014
"במקום",3010
"בזה",3005
"עובדים",3005
"מדובר",3002
"מס",3000
"מדבר",3000
"שאין",2995
"כאלה",2988
"הבעיה",2957
"צריכה",2955
"כאשר",2947
"מבקש",2924
"יכולה",2909
"הפנים",2906
"ילדים",2905
"עדיין",2865
"שלך",2865
"המשרד",2849
"השאלה",2848
"הזמן",2842
"מספר",2832
"והוא",2815
"העבודה",2809
"פחות",2774
"השר",2755
"אמר",2737
"רואים",2737
"הצעת",2728
"אפילו",2710
"קצת",2694
"עושה",2687
"חברי",2681
"בחוק",2671
"מישהו",2655
"שגם",2646
"רואה",2631
"לה",2623
"בלי",2607
"כולם",2606
"איפה",2577
"יהיו",2569
"אומרים",2558
"להגיע",2557
"הרשות",2548
"הספר",2531
"הייתה",2503
"אף",2502
"נגד",2498
"שאתם",2490
"אמרתי",2471
"נעשה",2442
"הציבור",2430
"אותי",2429
"לראות",2392
"מבין",2387
"נמצא",2363
"כלומר",2356
"שאלה",2350
"שיהיה",2344
"מאד",2335
"שירות",2331
"מ",2312
"אגב",2304
"מבחינת",2290
"נשים",2288
"לעניין",2287
"לפחות",2284
"קשה",2282
"ואת",2274
"למשל",2268
"ספר",2252
"תקציב",2232
"גדול",2229
"שהיה",2225
"בא",2225
"בתי",2216
"שוב",2207
"בוועדה",2205
"ואם",2186
"התקציב",2182
"חודשים",2181
"הרי",2180
"הבריאות",2176
"שאם",2165
"קורה",2163
"היושבראש",2131
"יודעת",2131
"הכי",2129
"תמיד",2127
"שכל",2120
"מתוך",2120
"עליו",2119
"עלידי",2114
"א",2111
"נמצאים",2096
"ממש",2090
"חברות",2080
"מקבל",2079
"לדעת",2066
"הזו",2058
"להביא",2052
"משנה",2048
"שלה",2043
"בישראל",2037
"להבין",2030
"מול",2024
"הילדים",2021
"שעות",2019
"וכל",2009
"מעבר",2000
"בשנה",1989
"חברה",1972
"השנה",1965
"מקבלים",1965
"רגע",1962
"ביותר",1953
"בסוף",1950
"במשרד",1950
"תיקון",1947
"אישור",1945
"בבית",1942
"הרווחה",1933
"החברה",1928
"מיני",1926
"המצב",1924
"ו",1920
"בסופו",1915
"מצב",1905
"התקנות",1892
"ככה",1889
"לקחת",1880
"דווקא",1878
"לבוא",1877
"אותך",1876
"מספיק",1875
"מערכת",1871
"במסגרת",1864
"ניתן",1860
"הולך",1857
"עניין",1854
"המשפטים",1851
"יחד",1839
"הכסף",1839
"תקנות",1826
"המשפטי",1824
"מזה",1824
"חדש",1823
"לשמוע",1817
"אותנו",1805
"כולל",1799
"שבו",1793
"לחוק",1791
"והם",1788
"חייב",1780
"להתייחס",1765
"השני",1762
"הכספים",1762
"ועדה",1753
"נותן",1747
"שתי",1736
"בדרך",1736
"נראה",1735
"מציע",1724
"סליחה",1713
"מנהל",1711
"ידי",1708
"במדינת",1706
"שלכם",1703
"בשביל",1696
"עובד",1688
"בה",1685
"אותן",1681
"הנתונים",1671
"לבין",1670
"בתחום",1668
"מגיע",1666
"בהם",1665
"ועל",1647
"להעביר",1646
"בואו",1643
"המים",1641
"בהחלט",1638
"מקווה",1630
"אי",1630
"החלטה",1625
"לוועדה",1612
"פי",1611
"כנסת",1606
"אחוז",1606
"אגף",1592
"כלל",1586
"בוודאי",1579
"מן",1579
"כמעט",1571
"שלוש",1569
"חיים",1569
"מדינת",1566
"ומה",1566
"בעולם",1562
"לנושא",1562
"למשרד",1559
"השירות",1556
"מבקשים",1554
"להיכנס",1550
"הולכים",1549
"הראשון",1547
"לעבוד",1547
"היינו",1542
"ברגע",1533
"ללכת",1533
"להוסיף",1532
"אלף",1520
"כ",1512
"שלושה",1511
"בסעיף",1509
"ראשון",1505
"נותנים",1503
"לבדוק",1501
"מכיר",1498
"הדין",1494
"חינוך",1491
"בוועדת",1489
"שאפשר",1485
"מבקר",1481
"בן",1478
"העובדים",1478
"הבנתי",1474
"עצמו",1455
"התשעג",1454
"גדולה",1454
"קיים",1450
"חושבים",1448
"החשמל",1448
"בארץ",1447
"לכך",1437
"לדיון",1432
